,prm,res
97,"[4.958999999999999, 0.307, 1.879999999999999, -0.07299999999999901, -0.8, 4858.0, 2029.0, 9.98, 3.129999999999999, 0.628]",508193.53913626244
98,"[-0.114, 0.307, 2.524, 0.035, -0.8, 3012.0, 1618.0, 5.78, 2.72, 0.7309999999999991]",968399.3358105063
99,"[2.22, 0.307, -0.9809999999999991, 0.661, -0.8, 4277.0, 1885.0, 4.129999999999999, 4.69, 0.62]",437346.2685025634
100,"[3.337, 0.307, 4.727, -0.136, -0.8, 4145.0, 1026.0, 0.8499999999999991, 5.36, 0.502]",493127.1791011898
101,"[4.788, 0.307, 1.064, 0.122, -0.8, 3994.0, 2627.0, 9.21, 6.28, 0.5669999999999991]",92196.66192233958
102,"[2.209, 0.307, 4.729, 0.68, -0.8, 4844.0, 1856.0, 1.51, 4.049999999999999, 0.506]",347220.80217743566
103,"[2.277, 0.307, 0.35099999999999903, 0.388, -0.8, 4821.0, 1268.0, 0.46, 3.45, 0.644]",59060.260166981185
104,"[-0.937, 0.307, 3.819999999999999, -0.191, -0.8, 4026.0, 2661.0, 7.4, 5.009999999999999, 0.515]",218117.90660836425
105,"[0.5849999999999991, 0.307, 0.30099999999999905, 0.082, -0.8, 5000.0, 1695.0, 0.8199999999999991, 4.349999999999999, 0.62]",95148.09447266108
106,"[0.375, 0.307, 0.75, -0.050999999999999004, -0.8, 3959.0, 2230.0, 2.87, 5.849999999999999, 0.559]",14350.473461053905
107,"[1.833, 0.307, -0.35599999999999904, 0.658, -0.8, 3423.0, 1703.0, 5.65, 7.599999999999999, 0.523]",137809.7012805811
108,"[3.435, 0.307, 2.128, -0.163, -0.8, 3538.0, 1460.0, 0.55, 0.28999999999999904, 0.646]",408760.2377469956
109,"[0.161, 0.307, 3.564, 0.48899999999999905, -0.8, 4056.0, 1733.0, 9.36, 2.47, 0.5879999999999991]",140177.63479639697
110,"[1.095, 0.307, -0.451, -0.134, -0.8, 4061.0, 1337.0, 0.9699999999999991, 7.49, 0.7259999999999991]",1163983.3906628208
111,"[1.966, 0.307, 2.069, 0.214, -0.8, 3243.0, 2111.0, 1.159999999999999, 1.159999999999999, 0.5759999999999991]",203668.23677463803
112,"[1.119, 0.307, -0.154, -0.157, -0.8, 3968.0, 1727.0, 2.569999999999999, 2.91, 0.5889999999999991]",2788.759453666839
113,"[0.083, 0.307, 1.379999999999999, 0.35299999999999904, -0.8, 4368.0, 1042.0, 6.379999999999999, 8.08, 0.544]",34420.70236289053
114,"[4.118999999999999, 0.307, 1.86, 0.75, -0.8, 3767.0, 2544.0, 3.48, 0.9399999999999991, 0.684]",97951.00107624763
115,"[1.010999999999999, 0.307, 1.071, -0.29799999999999904, -0.8, 3811.0, 2336.0, 2.299999999999999, 4.969999999999999, 0.6889999999999991]",735177.7193323274
116,"[1.669999999999999, 0.307, -0.5949999999999991, 0.8239999999999991, -0.8, 3555.0, 1149.0, 6.429999999999999, 1.56, 0.5969999999999991]",68936.21796428261
117,"[1.677, 0.307, 1.242, 0.522, -0.8, 4382.0, 2038.0, 5.61, 2.109999999999999, 0.664]",419404.2755287584
118,"[-0.251, 0.307, 2.242, -0.11, -0.8, 4353.0, 2550.0, 6.349999999999999, 4.169999999999999, 0.517]",185372.7026184086
119,"[-0.468, 0.307, 1.732, -0.47099999999999903, -0.8, 4479.0, 2018.0, 2.299999999999999, 1.07, 0.685]",33410.25368002139
120,"[3.841, 0.307, 3.226, 0.811, -0.8, 3539.0, 1877.0, 1.26, 1.149999999999999, 0.5939999999999991]",179877.95544757973
121,"[2.976, 0.307, 3.549999999999999, -0.185, -0.8, 3459.0, 2341.0, 4.919999999999999, 1.439999999999999, 0.5999999999999991]",56495.23446817112
122,"[2.611, 0.307, -0.7289999999999991, -0.055, -0.8, 3702.0, 1508.0, 4.419999999999999, 2.5, 0.532]",168242.51805621877
123,"[1.131, 0.307, 3.498, -0.434, -0.8, 4806.0, 1951.0, 1.28, 4.19, 0.656]",196550.25883042056
124,"[2.169, 0.307, 3.225, -0.308, -0.8, 3603.0, 1445.0, 1.24, 0.27, 0.657]",291688.3720865155
125,"[-0.546, 0.307, 1.409999999999999, -0.136, -0.8, 4317.0, 2053.0, 7.5, 6.16, 0.544]",23269.95630572631
126,"[2.644, 0.307, 0.341, -0.115, -0.8, 3679.0, 1550.0, 4.769999999999999, 2.18, 0.545]",108127.16121306396
127,"[1.536999999999999, 0.307, -0.5689999999999991, -0.277, -0.8, 3501.0, 1777.0, 3.589999999999999, 2.54, 0.5979999999999991]",17983.6414331418
128,"[-0.8279999999999991, 0.307, 3.492, -0.397, -0.8, 3199.0, 2136.0, 0.13, 9.41, 0.542]",77191.87992492432
129,"[-0.042999999999999004, 0.307, 3.081, 0.095, -0.8, 4896.0, 1975.0, 6.66, 6.19, 0.6119999999999991]",593477.4949053194
130,"[0.8689999999999991, 0.307, 1.343, 0.664, -0.8, 3463.0, 2304.0, 4.99, 7.91, 0.5659999999999991]",89297.07181144317
131,"[4.444, 0.307, 2.895999999999999, -0.36199999999999904, -0.8, 3816.0, 3149.0, 0.23999999999999902, 1.55, 0.655]",126550.40375411572
132,"[2.718, 0.307, -0.193, 0.7079999999999991, -0.8, 4071.0, 1884.0, 3.54, 3.93, 0.6129999999999991]",199193.846259327
133,"[-0.20699999999999902, 0.307, 1.458, 0.014999999999999002, -0.8, 4799.0, 1479.0, 1.879999999999999, 7.94, 0.5859999999999991]",195284.2470293543
134,"[0.774, 0.307, 3.692, 0.029, -0.8, 3331.0, 2738.0, 0.44, 9.41, 0.542]",58600.47906453131
135,"[2.758, 0.307, 4.743, -0.42699999999999905, -0.8, 4519.0, 1858.0, 8.5, 0.7299999999999991, 0.659]",356355.0865005742
136,"[0.18099999999999902, 0.307, 3.979, 0.529, -0.8, 4772.0, 1996.0, 4.44, 3.7, 0.644]",494415.74146375764
137,"[-0.006, 0.307, 4.623, -0.36099999999999904, -0.8, 4002.0, 1248.0, 4.759999999999999, 0.8, 0.685]",158546.02845229316
138,"[0.35899999999999904, 0.307, 0.14699999999999902, -0.035999999999999005, -0.8, 4732.0, 1619.0, 0.79, 4.95, 0.6039999999999991]",83266.10881790968
139,"[0.281, 0.307, 3.233, 0.36399999999999905, -0.8, 4567.0, 2012.0, 8.12, 3.6, 0.6979999999999991]",1480181.358169832
140,"[2.773, 0.307, 3.154999999999999, 0.751, -0.8, 4379.0, 2832.0, 7.839999999999999, 3.109999999999999, 0.7049999999999991]",1273590.8355681158
141,"[0.8219999999999991, 0.307, 0.014, 0.138, -0.8, 4421.0, 2139.0, 6.07, 4.019999999999999, 0.525]",110964.92921819532
142,"[1.713, 0.307, 1.573, 0.6069999999999991, -0.8, 4367.0, 1853.0, 6.379999999999999, 4.37, 0.6909999999999991]",1337511.664405133
143,"[0.13, 0.307, 3.805, 0.36199999999999904, -0.8, 4599.0, 2897.0, 3.609999999999999, 7.75, 0.659]",1271539.2518486655
144,"[1.054, 0.307, 3.564999999999999, 0.68, -0.8, 4481.0, 1805.0, 8.19, 5.23, 0.681]",1453187.9085272758
145,"[0.389, 0.307, 4.025, 0.514, -0.8, 4161.0, 1610.0, 7.48, 2.91, 0.6899999999999991]",833506.1078357478
146,"[1.808999999999999, 0.307, 4.206, 0.04, -0.8, 4626.0, 2390.0, 9.02, 5.73, 0.6019999999999991]",411957.88097305555
147,"[-0.625, 0.307, 2.009999999999999, -0.37, -0.8, 3348.0, 2111.0, 0.55, 8.21, 0.548]",42273.768889997606
148,"[-0.024, 0.307, -0.41199999999999903, 0.631, -0.8, 3868.0, 2055.0, 7.719999999999999, 7.269999999999999, 0.622]",904973.4659144335
149,"[0.5649999999999991, 0.307, 0.7359999999999991, -0.099, -0.8, 3666.0, 1805.0, 2.379999999999999, 0.44, 0.657]",102958.70826956171
150,"[0.935, 0.307, 2.274, 0.665, -0.8, 3886.0, 1900.0, 7.669999999999999, 6.169999999999999, 0.531]",86292.1902859571
151,"[1.83, 0.307, 0.8429999999999991, 0.654, -0.8, 3982.0, 2433.0, 3.529999999999999, 6.29, 0.645]",897611.2407967565
152,"[2.882, 0.307, 2.067, -0.12, -0.8, 3167.0, 2904.0, 1.47, 2.0, 0.6109999999999991]",37076.77732600596
153,"[-0.7229999999999991, 0.307, 3.064, 0.40699999999999903, -0.8, 4544.0, 1473.0, 8.22, 6.98, 0.66]",1450208.6988492517
154,"[1.250999999999999, 0.307, 1.024, -0.231, -0.8, 3352.0, 1527.0, 2.14, 0.11, 0.678]",188724.00704354324
155,"[2.238, 0.307, 4.506999999999999, -0.24399999999999902, -0.8, 4426.0, 1833.0, 8.669999999999998, 1.07, 0.644]",344285.99405514536
156,"[-0.05399999999999901, 0.307, 2.484999999999999, 0.249, -0.8, 4778.0, 1711.0, 3.509999999999999, 5.179999999999999, 0.6029999999999991]",241406.23712627753
157,"[0.375, 0.307, 0.75, -0.050999999999999004, -0.8, 3959.0, 2230.0, 2.87, 5.849999999999999, 0.542]",32488.51891454277
158,"[1.629999999999999, 0.307, -0.28199999999999903, 0.554, -0.8, 3622.0, 1790.0, 5.73, 6.879999999999999, 0.523]",132595.16676755142
159,"[0.28699999999999903, 0.307, 2.681, -0.22, -0.8, 3518.0, 1864.0, 1.679999999999999, 7.839999999999999, 0.5769999999999991]",81851.76134321457
160,"[1.661999999999999, 0.307, 1.573, 0.631, -0.8, 3868.0, 2055.0, 7.719999999999999, 7.269999999999999, 0.622]",752962.5853368826
161,"[0.517, 0.307, 3.412999999999999, -0.01, -0.8, 4820.0, 1951.0, 7.019999999999999, 5.089999999999999, 0.621]",639646.8314877361
162,"[3.335999999999999, 0.307, 3.326, 0.263, -0.8, 3482.0, 2231.0, 2.33, 1.28, 0.5979999999999991]",82611.89106183632
163,"[2.644, 0.307, 0.341, -0.115, -0.8, 3679.0, 1550.0, 4.769999999999999, 2.18, 0.678]",349647.01043089305
164,"[3.571, 0.307, 2.073999999999999, 0.019, -0.8, 3583.0, 1676.0, 1.129999999999999, 0.8199999999999991, 0.653]",167133.60056748675
165,"[3.919, 0.307, 2.629999999999999, -0.246, -0.8, 3543.0, 2963.0, 1.169999999999999, 1.879999999999999, 0.631]",38378.75216227778
166,"[0.506, 0.307, -0.247, -0.451, -0.8, 3411.0, 2250.0, 2.87, 5.849999999999999, 0.559]",16414.340693117334
167,"[1.538999999999999, 0.307, 0.8239999999999991, 0.513, -0.8, 3977.0, 2392.0, 3.39, 6.2, 0.627]",617995.365432071
168,"[0.5629999999999991, 0.307, 0.47299999999999903, -0.28, -0.8, 3577.0, 2052.0, 2.43, 0.9599999999999991, 0.636]",51733.88072155502
169,"[2.644, 0.307, 0.341, -0.115, -0.8, 3679.0, 1550.0, 4.769999999999999, 4.019999999999999, 0.525]",178448.6188735887
170,"[-0.017999999999999003, 0.307, 2.74, 0.14599999999999902, -0.8, 4790.0, 1788.0, 6.599999999999999, 6.559999999999999, 0.5979999999999991]",406839.31820528326
171,"[-0.024, 0.307, 2.931, -0.085, -0.8, 4434.0, 2207.0, 8.66, 5.86, 0.56]",61007.46571920148
172,"[-0.468, 0.307, 1.732, -0.47099999999999903, -0.8, 3411.0, 2250.0, 2.48, 2.56, 0.628]",23761.382847087316
173,"[0.13, 0.307, 2.467, 0.10299999999999901, -0.8, 4801.0, 2007.0, 6.54, 5.75, 0.5939999999999991]",337680.64540400717
